Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9574468085106383,0.9609377416371251,0.9574468085106383,0.9580244065549997,0.9971708715787335
XGBoost,0.9574468085106383,0.9597433802625124,0.9574468085106383,0.957841387316255,0.9967200191708621
LightGBM,0.9692671394799054,0.9710893358085544,0.9692671394799054,0.9695716985539278,0.9987825432284404
CatBoost,0.9645390070921985,0.9666171088998351,0.9645390070921985,0.9649222351517038,0.9984252267982988
