iter	MultiClass
0	1.690051813
1	1.513565049
2	1.396348424
3	1.289046233
4	1.193856999
5	1.110895226
6	1.038496104
7	0.9687749123
8	0.9202768553
9	0.8695913964
10	0.8229907258
11	0.783485686
12	0.7467898998
13	0.7174238628
14	0.6955272583
15	0.6642572942
16	0.6348439127
17	0.6111305129
18	0.5864333442
19	0.5687442866
20	0.5472927608
21	0.5273293106
22	0.508132023
23	0.4876896119
24	0.4740922464
25	0.4599609382
26	0.4498542814
27	0.4378554486
28	0.4252025052
29	0.4122523585
30	0.3986502448
31	0.3879906824
32	0.3748804324
33	0.3659852314
34	0.3573429833
35	0.3496459416
36	0.3402342749
37	0.3347530747
38	0.3249698153
39	0.3195169984
40	0.3132852054
41	0.3060788678
42	0.3012854872
43	0.2950503484
44	0.2871632708
45	0.2823592642
46	0.2770147656
47	0.2734530373
48	0.2694437881
49	0.2658256356
50	0.2578974763
51	0.2534506662
52	0.2504523841
53	0.2448541675
54	0.2411573141
55	0.2378765287
56	0.2327325108
57	0.2300705711
58	0.2263886082
59	0.2230241179
60	0.2181130962
61	0.2148307556
62	0.2117825115
63	0.2083421369
64	0.2051344254
65	0.2019672072
66	0.1966739224
67	0.1943295513
68	0.1901030335
69	0.1876830631
70	0.1844445956
71	0.1821901067
72	0.1795246636
73	0.1767496324
74	0.1750873675
75	0.1706315735
76	0.1687926332
77	0.1667651994
78	0.1635488149
79	0.1618417825
80	0.1601821832
81	0.1571037994
82	0.1551660733
83	0.1535912731
84	0.1513152899
85	0.1495692838
86	0.1466161946
87	0.1426916514
88	0.1411282961
89	0.1386044627
90	0.1362049215
91	0.1344784861
92	0.1333428909
93	0.1316507964
94	0.1281086525
95	0.1269994215
96	0.1245275291
97	0.1234991352
98	0.1212497567
99	0.1194322552
100	0.118367181
101	0.116680972
102	0.1159025706
103	0.1142731409
104	0.1119709081
105	0.1106796488
106	0.109890814
107	0.108343712
108	0.1070090287
109	0.1059239491
110	0.1038846032
111	0.102066368
112	0.1009372835
113	0.09989729557
114	0.09899401639
115	0.09809251255
116	0.09720662509
117	0.09531437132
118	0.09426502127
119	0.09369563422
120	0.09183632913
121	0.09065027092
122	0.08975521307
123	0.08915592684
124	0.08817387775
125	0.08704580516
126	0.08629560057
127	0.08554587403
128	0.08411063526
129	0.08277123388
130	0.08216293932
131	0.08125226823
132	0.08069595284
133	0.08001604848
134	0.07947577332
135	0.07863740236
136	0.07810119678
137	0.07785222445
138	0.07736623795
139	0.076726017
140	0.07595974311
141	0.07524998738
142	0.07446250944
143	0.07389468346
144	0.07349058645
145	0.07269918824
146	0.07225434073
147	0.07118572631
148	0.07063967398
149	0.07005682319
150	0.0692556704
151	0.06888362194
152	0.06844899693
153	0.06780751769
154	0.06733035529
155	0.06684914107
156	0.06566635033
157	0.06520160907
158	0.06485422631
159	0.06440215402
160	0.06409163878
161	0.06375030554
162	0.06318256127
163	0.06279132538
164	0.06232656649
165	0.0620044179
166	0.06156844055
167	0.06113787883
168	0.06091921661
169	0.06068452405
170	0.06028012536
171	0.05995100033
172	0.05963724791
173	0.05922395157
174	0.05879524508
175	0.05835182932
176	0.05786294418
177	0.0574262462
178	0.057088748
179	0.05681312927
180	0.05648398947
181	0.0558681946
182	0.05546294766
183	0.05523877664
184	0.0550352221
185	0.05480620588
186	0.05447893935
187	0.05422056312
188	0.05391534856
189	0.0536113581
190	0.05325608863
191	0.05296189143
192	0.05255629106
193	0.05223837986
194	0.05197847041
195	0.05170523079
196	0.0514549442
197	0.05111065915
198	0.05053677493
199	0.05023791952
200	0.04998964621
201	0.04924964055
202	0.04880888034
203	0.0484047359
204	0.04808553053
205	0.04785704296
206	0.04765389419
207	0.04740863113
208	0.04708694529
209	0.04687509302
210	0.04614717873
211	0.04594166633
212	0.04552976698
213	0.04535366802
214	0.04504311134
215	0.04482420216
216	0.04448305912
217	0.04412729761
218	0.04388109556
219	0.04370364477
220	0.04345461496
221	0.0431142595
222	0.04291105178
223	0.04270888972
224	0.04250151349
225	0.04220276788
226	0.04194011198
227	0.04176630536
228	0.04154953869
229	0.04131254808
230	0.04114793098
231	0.04081612085
232	0.04033757403
233	0.0401965031
234	0.03964501912
235	0.03951371359
236	0.03937991569
237	0.03919865138
238	0.03903008344
239	0.03882092195
240	0.03857805604
241	0.03831013271
242	0.03808493615
243	0.03783452981
244	0.0375063898
245	0.03725091165
246	0.03703663182
247	0.03687822923
248	0.03671731755
249	0.03658482954
250	0.03645305828
251	0.03637573505
252	0.03612225297
253	0.03596585185
254	0.0358583285
255	0.03569092418
256	0.03556657127
257	0.03535528799
258	0.03512096307
259	0.03500941485
260	0.03488072363
261	0.03465554545
262	0.03449748619
263	0.03435144814
264	0.0342285001
265	0.03398992188
266	0.03383063525
267	0.03368435303
268	0.03356197267
269	0.03348152024
270	0.03336700909
271	0.0332685755
272	0.03313259938
273	0.03288751676
274	0.03267838345
275	0.03248544096
276	0.03231413689
277	0.0321633399
278	0.03195532978
279	0.03188825575
280	0.03178218514
281	0.03167878614
282	0.03153156266
283	0.03140037535
284	0.03123099567
285	0.03111657836
286	0.0309988118
287	0.03087613769
288	0.03081695924
289	0.03065917414
290	0.03042293859
291	0.03032206938
292	0.03021254835
293	0.03007637617
294	0.02996874814
295	0.02984113732
296	0.02974536503
297	0.02964887018
298	0.02955561782
299	0.02941832008
